GNSS Trajectory File
Position ECEF
END OF HEADER
1966   4990	   -4130636.58  2894953.12   -3890530.44
1966   5000	   -4130636.58  2894953.12   -3890530.44
1966   5010	   -4130636.58  2894953.12   -3890530.44
1966   5020	   -4130636.58  2894953.12   -3890530.44
1966   5030	   -4130636.58  2894953.12   -3890530.44
1966   5040	   -4130636.58  2894953.12   -3890530.44
1966   5050	   -4130636.58  2894953.12   -3890530.44
1966   5060	   -4130636.58  2894953.12   -3890530.44
1966   5070	   -4130636.58  2894953.12   -3890530.44
1966   5080	   -4130636.58  2894953.12   -3890530.44
1966   5090	   -4130636.58  2894953.12   -3890530.44
1966   5100	   -4130636.58  2894953.12   -3890530.44
1966   5110	   -4130636.58  2894953.12   -3890530.44
1966   5120	   -4130636.58  2894953.12   -3890530.44
1966   5130	   -4130636.58  2894953.12   -3890530.44
1966   5140	   -4130636.58  2894953.12   -3890530.44
1966   5150	   -4130636.58  2894953.12   -3890530.44
1966   5160	   -4130636.58  2894953.12   -3890530.44
1966   5170	   -4130636.58  2894953.12   -3890530.44
1966   5180	   -4130636.58  2894953.12   -3890530.44
1966   5190	   -4130636.58  2894953.12   -3890530.44
1966   5200	   -4130636.58  2894953.12   -3890530.44
1966   5210	   -4130636.58  2894953.12   -3890530.44
1966   5220	   -4130636.58  2894953.12   -3890530.44
1966   5230	   -4130636.58  2894953.12   -3890530.44
1966   5240	   -4130636.58  2894953.12   -3890530.44
1966   5250	   -4130636.58  2894953.12   -3890530.44
1966   5260	   -4130636.58  2894953.12   -3890530.44
1966   5270	   -4130636.58  2894953.12   -3890530.44
1966   5280	   -4130636.58  2894953.12   -3890530.44
1966   5290	   -4130636.58  2894953.12   -3890530.44
1966   5300	   -4130636.58  2894953.12   -3890530.44
1966   5310	   -4130636.58  2894953.12   -3890530.44
1966   5320	   -4130636.58  2894953.12   -3890530.44
1966   5330	   -4130636.58  2894953.12   -3890530.44
1966   5340	   -4130636.58  2894953.12   -3890530.44
1966   5350	   -4130636.58  2894953.12   -3890530.44
1966   5360	   -4130636.58  2894953.12   -3890530.44
1966   5370	   -4130636.58  2894953.12   -3890530.44
1966   5380	   -4130636.58  2894953.12   -3890530.44
1966   5390	   -4130636.58  2894953.12   -3890530.44
1966   5400	   -4130636.58  2894953.12   -3890530.44
1966   5410	   -4130636.58  2894953.12   -3890530.44
1966   5420	   -4130636.58  2894953.12   -3890530.44
1966   5430	   -4130636.58  2894953.12   -3890530.44
1966   5440	   -4130636.58  2894953.12   -3890530.44
1966   5450	   -4130636.58  2894953.12   -3890530.44
1966   5460	   -4130636.58  2894953.12   -3890530.44
1966   5470	   -4130636.58  2894953.12   -3890530.44
1966   5480	   -4130636.58  2894953.12   -3890530.44
1966   5490	   -4130636.58  2894953.12   -3890530.44
1966   5500	   -4130636.58  2894953.12   -3890530.44
1966   5510	   -4130636.58  2894953.12   -3890530.44
1966   5520	   -4130636.58  2894953.12   -3890530.44
1966   5530	   -4130636.58  2894953.12   -3890530.44
1966   5540	   -4130636.58  2894953.12   -3890530.44
1966   5550	   -4130636.58  2894953.12   -3890530.44
1966   5560	   -4130636.58  2894953.12   -3890530.44
1966   5570	   -4130636.58  2894953.12   -3890530.44
1966   5580	   -4130636.58  2894953.12   -3890530.44
1966   5590	   -4130636.58  2894953.12   -3890530.44
1966   5600	   -4130636.58  2894953.12   -3890530.44
1966   5610	   -4130636.58  2894953.12   -3890530.44
1966   5620	   -4130636.58  2894953.12   -3890530.44
1966   5630	   -4130636.58  2894953.12   -3890530.44
1966   5640	   -4130636.58  2894953.12   -3890530.44
1966   5650	   -4130636.58  2894953.12   -3890530.44
1966   5660	   -4130636.58  2894953.12   -3890530.44
1966   5670	   -4130636.58  2894953.12   -3890530.44
1966   5680	   -4130636.58  2894953.12   -3890530.44
1966   5690	   -4130636.58  2894953.12   -3890530.44
1966   5700	   -4130636.58  2894953.12   -3890530.44
1966   5710	   -4130636.58  2894953.12   -3890530.44
1966   5720	   -4130636.58  2894953.12   -3890530.44
1966   5730	   -4130636.58  2894953.12   -3890530.44
1966   5740	   -4130636.58  2894953.12   -3890530.44
1966   5750	   -4130636.58  2894953.12   -3890530.44
1966   5760	   -4130636.58  2894953.12   -3890530.44
1966   5770	   -4130636.58  2894953.12   -3890530.44
1966   5780	   -4130636.58  2894953.12   -3890530.44
1966   5790	   -4130636.58  2894953.12   -3890530.44
1966   5800	   -4130636.58  2894953.12   -3890530.44
1966   5810	   -4130636.58  2894953.12   -3890530.44
1966   5820	   -4130636.58  2894953.12   -3890530.44
1966   5830	   -4130636.58  2894953.12   -3890530.44
1966   5840	   -4130636.58  2894953.12   -3890530.44
1966   5850	   -4130636.58  2894953.12   -3890530.44
1966   5860	   -4130636.58  2894953.12   -3890530.44
1966   5870	   -4130636.58  2894953.12   -3890530.44
1966   5880	   -4130636.58  2894953.12   -3890530.44
1966   5890	   -4130636.58  2894953.12   -3890530.44
1966   5900	   -4130636.58  2894953.12   -3890530.44
1966   5910	   -4130636.58  2894953.12   -3890530.44
1966   5920	   -4130636.58  2894953.12   -3890530.44
1966   5930	   -4130636.58  2894953.12   -3890530.44
1966   5940	   -4130636.58  2894953.12   -3890530.44
1966   5950	   -4130636.58  2894953.12   -3890530.44
1966   5960	   -4130636.58  2894953.12   -3890530.44
1966   5970	   -4130636.58  2894953.12   -3890530.44
1966   5980	   -4130636.58  2894953.12   -3890530.44
1966   5990	   -4130636.58  2894953.12   -3890530.44
1966   6000	   -4130636.58  2894953.12   -3890530.44
1966   6010	   -4130636.58  2894953.12   -3890530.44
1966   6020	   -4130636.58  2894953.12   -3890530.44
1966   6030	   -4130636.58  2894953.12   -3890530.44
1966   6040	   -4130636.58  2894953.12   -3890530.44
1966   6050	   -4130636.58  2894953.12   -3890530.44
1966   6060	   -4130636.58  2894953.12   -3890530.44
1966   6070	   -4130636.58  2894953.12   -3890530.44
1966   6080	   -4130636.58  2894953.12   -3890530.44
1966   6090	   -4130636.58  2894953.12   -3890530.44
1966   6100	   -4130636.58  2894953.12   -3890530.44
1966   6110	   -4130636.58  2894953.12   -3890530.44
1966   6120	   -4130636.58  2894953.12   -3890530.44
1966   6130	   -4130636.58  2894953.12   -3890530.44
1966   6140	   -4130636.58  2894953.12   -3890530.44
1966   6150	   -4130636.58  2894953.12   -3890530.44
1966   6160	   -4130636.58  2894953.12   -3890530.44
1966   6170	   -4130636.58  2894953.12   -3890530.44
1966   6180	   -4130636.58  2894953.12   -3890530.44
1966   6190	   -4130636.58  2894953.12   -3890530.44
1966   6200	   -4130636.58  2894953.12   -3890530.44
1966   6210	   -4130636.58  2894953.12   -3890530.44
1966   6220	   -4130636.58  2894953.12   -3890530.44
1966   6230	   -4130636.58  2894953.12   -3890530.44
1966   6240	   -4130636.58  2894953.12   -3890530.44
1966   6250	   -4130636.58  2894953.12   -3890530.44
1966   6260	   -4130636.58  2894953.12   -3890530.44
1966   6270	   -4130636.58  2894953.12   -3890530.44
1966   6280	   -4130636.58  2894953.12   -3890530.44
1966   6290	   -4130636.58  2894953.12   -3890530.44
1966   6300	   -4130636.58  2894953.12   -3890530.44
1966   6310	   -4130636.58  2894953.12   -3890530.44
1966   6320	   -4130636.58  2894953.12   -3890530.44
1966   6330	   -4130636.58  2894953.12   -3890530.44
1966   6340	   -4130636.58  2894953.12   -3890530.44
1966   6350	   -4130636.58  2894953.12   -3890530.44
1966   6360	   -4130636.58  2894953.12   -3890530.44
1966   6370	   -4130636.58  2894953.12   -3890530.44
1966   6380	   -4130636.58  2894953.12   -3890530.44
1966   6390	   -4130636.58  2894953.12   -3890530.44
1966   6400	   -4130636.58  2894953.12   -3890530.44
1966   6410	   -4130636.58  2894953.12   -3890530.44
1966   6420	   -4130636.58  2894953.12   -3890530.44
1966   6430	   -4130636.58  2894953.12   -3890530.44
1966   6440	   -4130636.58  2894953.12   -3890530.44
1966   6450	   -4130636.58  2894953.12   -3890530.44
1966   6460	   -4130636.58  2894953.12   -3890530.44
1966   6470	   -4130636.58  2894953.12   -3890530.44
1966   6480	   -4130636.58  2894953.12   -3890530.44
1966   6490	   -4130636.58  2894953.12   -3890530.44
1966   6500	   -4130636.58  2894953.12   -3890530.44
1966   6510	   -4130636.58  2894953.12   -3890530.44
1966   6520	   -4130636.58  2894953.12   -3890530.44

